79.84.128.88:8002 - - [19/Apr/2023:15:30:54 +0000] GET /upload/index.html HTTP/1.1 /upload/index.html HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1"
79.84.128.88:8002 - - [19/Apr/2023:15:30:57 +0000] GET /upload/index.html HTTP/1.1 /upload/index.html HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1"
localhost:8000 - - [20/Apr/2023:02:02:44 +0000] GET /upload/tools/Dinocry.png HTTP/1.1 /upload/tools/Dinocry.png HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8000 - - [20/Apr/2023:02:02:45 +0000] GET /upload/authenticated.html HTTP/1.1 /upload/authenticated.html HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8000 - - [20/Apr/2023:02:03:57 +0000] GET /upload/tools/Dinocry.png HTTP/1.1 /upload/tools/Dinocry.png HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8000 - - [20/Apr/2023:02:03:59 +0000] GET /upload/authenticated.html HTTP/1.1 /upload/authenticated.html HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8000 - - [20/Apr/2023:02:10:00 +0000] GET /www/tools/Dinocry.png HTTP/1.1 /www/tools/Dinocry.png HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8000 - - [20/Apr/2023:02:10:01 +0000] GET /upload/authenticated.html HTTP/1.1 /upload/authenticated.html HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8000 - - [20/Apr/2023:02:10:14 +0000] GET /www/tools/Dinocry.png HTTP/1.1 /www/tools/Dinocry.png HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8000 - - [20/Apr/2023:02:10:15 +0000] GET /upload/authenticated.html HTTP/1.1 /upload/authenticated.html HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8000 - - [20/Apr/2023:02:13:57 +0000] GET /upload/authenticated.html HTTP/1.1 /upload/authenticated.html HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8000 - - [20/Apr/2023:02:25:09 +0000] REGISTER 400 278 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8000 - - [20/Apr/2023:02:26:07 +0000] REGISTER 400 278 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8000 - - [20/Apr/2023:02:29:01 +0000] LOGIN 400 268 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8000 - - [20/Apr/2023:02:29:23 +0000] LOGIN 400 271 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
